version,niveau,classe,discipline,editeur,code,nom,nbpage,codeprof,,
eleve,college,Cycle 3,français,hachette,9782016291832,Fleurs d'encre 6e - Ed. 2021 ,368,9782016291849,,
eleve,college,Cycle 3,maths,hachette,9782016291924,Mission Indigo Maths 6e - Ed. 2021 ,320,9782016291962,,
eleve,college,Cycle 4,français,hachette,9782017104285,Fleurs d'Encre Français 3e - Ed. 2020 ,400,9782016289808,,
eleve,college,Cycle 4,français,hachette,9782017158486,Fleurs d'encre Français 5e - Ed. 2022 ,384,9782017158493,,
eleve,college,Cycle 4,français,hachette,9782017189671,Mission Plumes 4e - Ed. 2022 ,320,9782017189688,,
eleve,college,Cycle 4,français,hachette,9782016291856,Mission Plumes 5e - Ed. 2021 ,352,9782016291863,,
eleve,college,Cycle 4,espagnol,hachette,9782016291788,A mi me Encanta 4e - Livre élève - Ed. 2021 ,144,9782016291795,,
eleve,college,Cycle 4,espagnol,hachette,9782016291757,A mi me Encanta 5e - Livre élève - Ed. 2021 ,144,9782016291764,,
eleve,college,Cycle 4,espagnol,hachette,9782017190011,A mi me encanta cycle 4/3e - Ed. 2022 ,144,9782017190028,,
eleve,college,Cycle 4,Histoire-Géographie-EMC,hachette,9782016291917,Histoire-Géographie-EMC 3e - Ed. 2021 Plaza ,432,9782016291955,,
eleve,college,Cycle 4,Histoire-Géographie-EMC,hachette,9782016291894,Histoire-Géographie-EMC 4e - Ed. 2021 Plaza ,416,9782016291900,,
eleve,college,Cycle 4,maths,hachette,9782016289990,Mission Indigo Maths 3e - Ed. 2020 ,320,9782016290286,,
eleve,college,Cycle 4,maths,hachette,9782016289976,Mission Indigo Maths 4e - Ed. 2020 ,320,9782016289983,,
eleve,college,Cycle 4,maths,hachette,9782016289952,Mission Indigo Maths 5e - Ed. 2020,320,9782016289969,,
eleve,college,Cycle 4,anglais,hachette,9782017190073,Try n' Fly cycle 4/4e - Ed. 2022 ,160,9782017190080,,
eleve,college,Cycle 4,Physique-chimie,hachette,9782401001152,Microméga Physique Chimie Cycle 4 Éd 2021 actualisée ,550,9782401001114,,
eleve,college,6e,Français,hachette,9782016291832,Fleurs d'encre 6e - Ed. 2021 ,368,9782016291849,fait,fait
eleve,college,6e,Maths,hachette,9782016291924,Mission Indigo Maths 6e - Ed. 2021,320,9782016291931,fait,fait
eleve,college,6e,Maths,hatier,9782401090132,TAM Maths 6e - Ed 2022,312,9782401090125,fait,fait
eleve,college,6e,Français,hatier,9782401082328,L'Attrape livre Français 6e Éd 2021,392,9782401082311,fait,fait
eleve,college,6e,Anglais,didier,9782278103041,New E For English 6ème Edition 2021,168,9782278104062,fait,fait
eleve,college,6e,espagnol,didier,9782278103119,Nuevo Vamos allá 6eme 2021 Livre + Cahier numériques Enseignant,148,9782278104079,fait,fait
eleve,college,6e,anglais,hatier,9782401082243,Pack your Bags Anglais 6e Éd 2021,184,9782401082236,fait,fait
eleve,college,6e,chinois,didier,9782278096213,Lai Ba ! 1re année Manuel numérique élève enseignant,100,9782278096213,fait,fait
eleve,college,5e,Français,hachette,9782017158486,Fleurs d'encre Français 5e - Ed. 2022,384,9782017158493,fait,fait
eleve,college,5e,Français,hachette,9782016291856,Mission Plumes 5e - Ed. 2021,352,9782016291863,fait,fait
eleve,college,5e,espagnol,hachette,9782016291757,A mi me Encanta 5e - Livre élève - Ed. 2021,144,9782016291764,fait,fait
eleve,college,5e,Maths,hachette,9782016289952,Mission Indigo Maths 5e - Ed. 2020,320,9782016289969,fait,fait
eleve,college,5e,anglais,didier,9782278105311,NEW E For English Anglais 5e - Manuel et Workbook - Ed 2022,170,9782278105328,fait,fait
eleve,college,5e,espagnol,didier,9782278105298,NUEVO Vamos allá Espagnol 5e - Ed 2022,147,9782278105298,fait,fait
eleve,college,5e,Physique-chimie,hatier,9782401001152,Microméga Physique Chimie Cycle 4 Éd 2021 actualisée,550,9782401001114,fait,fait
eleve,college,5e,espagnol,hatier,9782401082304,¡Listos! espagnol 5e Éd 2021 Manuel numérique enseignant,168,9782401082298,fait,fait
eleve,college,5e,chinois,didier,9782278096213,Lai Ba ! 1re année Manuel numérique élève enseignant,100,9782278096213,fait,fait
eleve,college,4e,Français,hachette,9782017189671,Mission Plumes 4e - Ed. 2022,320,9782017189688,fait,fait
eleve,college,4e,espagnol,hachette,9782016291788,A mi me Encanta 4e - Livre élève - Ed. 2021,144,9782016291795,fait,fait
eleve,college,4e,Histoire-Géographie-EMC,hatier,9782401090187,Histoire Géographie EMC 4e - Ed 2022,424,9782401090194,fait,fait
eleve,college,4e,Histoire-Géographie-EMC,hachette,9782016291894,Histoire-Géographie-EMC 4e - Ed. 2021 Plaza,416,9782016291900,,
eleve,college,4e,Maths,hachette,9782016289976,Mission Indigo Maths 4e - Ed. 2020,320,9782016289983,,
eleve,college,4e,anglais,hachette,9782017190073,Try n' Fly cycle 4/4e - Ed. 2022,160,9782017190080,,
eleve,college,4e,espagnol,hatier,9782401090231,¡Listos! espagnol 4e - Ed 2022,136,9782401090224,,
eleve,college,4e,Physique-chimie,hatier,9782401001152,Microméga Physique Chimie Cycle 4 Éd 2021 actualisée,550,9782401001114,,
eleve,college,4e,anglais,didier,9782278088478,E For English 4e - Manuel numérique,182,9782278088485,,
eleve,college,3e,Français,hachette,9782017104285,Fleurs d'Encre Français 3e - Ed. 2020,400,9782016289808,,
eleve,college,3e,espagnol,hachette,9782017190011,A mi me encanta cycle 4/3e - Ed. 2022,144,9782017190028,,
eleve,college,3e,Français,hatier,9782401090255,Colibris Français 3e - Ed 2022,408,9782401090248,,
eleve,college,3e,Histoire-Géographie-EMC,hachette,9782016291917,Histoire-Géographie-EMC 3e - Ed. 2021 Plaza,432,9782016291955,,
eleve,college,3e,Maths,hachette,9782016289990,Mission Indigo Maths 3e - Ed. 2020,320,9782016290286,,
eleve,college,3e,Histoire-Géographie-EMC,hatier,9782401082267,Histoire Géographie EMC 3e Ed 2021,456,9782401082250,,
eleve,college,3e,Physique-chimie,hatier,9782401001152,Microméga Physique Chimie Cycle 4 Éd 2021 actualisée,550,9782401001114,,
eleve,college,3e,Maths,hatier,9782401082182,TAM Mathématiques 3e Ed 2021,312,9782401082175,,
eleve,college,2e,chinois,didier,9782278105267,Lai Ba ! 2 Chinois 2e année Ed 2022,102,9782278105250,,
eleve,lycee,2nd,ses,hachette,9782017189848,SES 2de - Ed. 2022,160,9782017189862,,
eleve,lycee,2nd,anglais,hachette,9782017048060,Anglais 2de Seasons - édition numérique 2022,242,9782017048077,,
eleve,lycee,2nd,Maths,hachette,9782016262740,Déclic Mathématiques 2de - édition numérique 2022,416,9782016262757,,
eleve,lycee,2nd,géographie,hachette,9782017048121,Géographie 2de - édition 2022,272,,,
eleve,lycee,2nd,Histoire,hachette,9782016262788,Histoire 2de - Edition numérique 2022,288,9782016262795,,
eleve,lycee,2nd,Histoire-Géographie,hachette,9782017092544,Histoire-Géographie 2de - Edition numérique 2022,544,9782017092551,,
eleve,lycee,2nd,Maths,hachette,9782016262726,Mathématiques Barbazo 2de - édition numérique 2022,400,9782016262733,,
eleve,lycee,2nd,allemand,hachette,9782017102229,Mitreden Allemand 2de - édition numérique 2022,208,9782017102236,,
eleve,lycee,2nd,Physique-chimie,hachette,9782016262689,Physique Chimie 2de - édition numérique 2022,320,9782016262696,,
eleve,lycee,2nd,ses,hatier,9782401090293,SES Sciences économiques et sociales 2de,167,9782401090286,,
eleve,lycee,2nd,géographie,hatier,9782401082489,Géographie 2de - ED. 2021 ACTUALISEE,312,9782401082465,,
eleve,lycee,2nd,anglais,hatier,9782401020696,"Let's Meet up ! - Anglais 2de, éd. 2021 actualisée",322,9782401020672,,
eleve,lycee,2nd,Physique-chimie,hatier,9782401058927,Physique chimie 2de - ED. 2021 ACTUALISEE,360,9782401020658,,
eleve,lycee,2nd,Français,hatier,9782401049666,"Anthologie Lycée Français 2de 1re, éd. 2019",475,9782401049673,,
eleve,lycee,2nd,Français,hachette,9782017098065,Au fil des textes Français 2de - 2019,384,9782017098072,,
eleve,lycee,2nd,espagnol,didier,9782278093472,Dilo En Voz Alta 2de - Manuel numérique premium élève / enseignant,272,9782278093472,,
eleve,lycee,2nd,géographie,hatier,9782401058835,"Géographie 2de, éd. 2019",312,,,
eleve,lycee,2nd,Histoire,hatier,9782401058873,Histoire 2de - Ed. 2019,311,9782401058866,,
eleve,lycee,2nd,allemand,didier,9782278093533,In Full Swing 2de - Manuel numérique premium élève / enseignant,248,9782278093533,,
eleve,lycee,2nd,Français,hatier,9782401058811,"Itinéraires littéraires - Français 2de, éd. 2019",551,9782401058828,,
eleve,lycee,2nd,Français,hachette,9782017092506,L'ecume des lettres Anthologie 2de-1re - Ed. 2019,620,9782017092513,,
eleve,lycee,2nd,Français,hachette,9782016262764,L'ecume des lettres Francais 2de - édition numérique 2022,480,9782016262771,,
eleve,lycee,2nd,latin,hatier,9782401058958,Latin 2de Ed 2019,247,9782401058965,,
eleve,lycee,2nd,maths,didier,9782278093748,Math'x 2de - Manuel numérique eleve / enseignant,404,9782278093748,,
